city,address,status
100 MILE HOUSE,365 S CARIBOO HWY,Licensed
ABBOTSFORD,30495 CARDINAL AVENUE,Licensed
ABBOTSFORD,30  31940 SOUTH FRASER WAY,Licensed
ABBOTSFORD,32470 SIMON AVE,Licensed
ABBOTSFORD,2509 PAULINE ST,Licensed
ABBOTSFORD,100 - 1900 N PARALLEL ROAD,Licensed
ABBOTSFORD,33790 ESSENDENE AVE,Licensed
ABBOTSFORD,2520 MONTVUE AVE,Licensed
AGASSIZ,2406 HOT SPRINGS RD,Licensed
AGASSIZ,1810 #9 HIGHWAY,Licensed
ALDERGROVE,27214 FRASER HWY,Licensed
ALDERGROVE,26444 32 AVENUE,Licensed
ALERT BAY,81 FIR STREET,Licensed
ALERT BAY,287 291 FIR STREET,Licensed
ARMSTRONG,3400 SMITH DR.,Licensed
ARMSTRONG,2570 PLEASANT VALLEY ROAD,Licensed
BARRIERE,4347 YELLOWHEAD HWY,Licensed
BOSTON BAR,48115 TRANS CANADA HWY,Licensed
BOWEN ISLAND,102 - 996 DORMAN ROAD,Licensed
BURNABY,7557 EDMONDS ST,Licensed
BURNABY,5820 MARINE DR,Licensed
BURNABY,5  7000 LOUGHEED HIGHWAY,Licensed
BURNABY,9 1601 BURNWOOD DR,Licensed
BURNABY,7651 ROYAL OAK AVENUE,Licensed
BURNABY,5665 KINGSWAY,Licensed
BURNABY,4125 HASTINGS ST,Licensed
BURNABY,109-1899 ROSSER AVENUE,Licensed
BURNS LAKE,164 HWY 16,Licensed
BURNS LAKE,156 FRANCOIS LAKE DRIVE,Licensed
CACHE CREEK,1064 S TRANS CANADA HWY,Licensed
CAMPBELL RIVER,1340 ISLAND HWY,Licensed
CAMPBELL RIVER,20 - 1270 DOGWOOD ST,Licensed
CAMPBELL RIVER,145 BRANT DR,Licensed
CAMPBELL RIVER,1760 ISLAND HWY,Licensed
CAMPBELL RIVER,2253 SOUTH ISLAND HWY,Licensed
CAMPBELL RIVER,1342 SHOPPERS ROW,Licensed
CAMPBELL RIVER,84 DOGWOOD ST,Licensed
CAMPBELL RIVER,975 SHOPPERS ROW,Licensed
CAMPBELL RIVER,521 ROCKLAND RD,Licensed
CAMPBELL RIVER,A7 465 MERECROFT ROAD,Licensed
CAMPBELL RIVER,2207B GLENMORE RD,Licensed
CAMPBELL RIVER,45 KM W OF CAMPBELL RIVER,Licensed
CANAL FLATS,8893 GRANGER ROAD,Licensed
CASTLEGAR,651 18TH ST,Licensed
CASTLEGAR,1101 - 4 STREET,Licensed
CASTLEGAR,1810  8TH AVE,Licensed
CASTLEGAR,1965 COLUMBIA AVE,Licensed
CASTLEGAR,1502 E COLUMBIA AVE,Licensed
CENTRAL SAANICH,"PAD 5, JUS KEN TOWN CENTRE",Relocation Application
CENTRAL SAANICH,100 - 7143 WEST SAANICH ROAD,Licensed
CENTRAL SAANICH,7806 E  SAANICH RD,Licensed
CENTRAL SAANICH,2134 KEATING CROSS ROAD,Licensed
CHASE,4 - 451 BROOK STREET,Licensed
CHASE,718 SHUSWAP AVENUE,Licensed
CHEMAINUS,3030 PINE STREET,Relocation Application
CHEMAINUS,9576 CHEMAINUS RD,Licensed
CHEMAINUS,10519 KNIGHT ROAD,Licensed
CHEMAINUS,9644 CHEMAINUS RD.,Licensed
CHETWYND,4905 SOUTH ACCESS ROAD,Licensed
CHILLIWACK,8247 YOUNG ROAD,Licensed
CHILLIWACK,1 - 9701 MENZIES STREET,Licensed
CHILLIWACK,5865 VEDDER RD,Licensed
CHILLIWACK,1000 - 45610 LUCKAKUCK RD ,Licensed
CHILLIWACK,43971A INDUSTRIAL WAY,Licensed
CHILLIWACK,5 - 45555 MARKET WAY,Licensed
CHILLIWACK,201 - 5615 TESKEY WAY,Licensed
CHILLIWACK,46298 YALE ROAD,Licensed
CHILLIWACK,"UNIT F, 418 - 8249 EAGLE LANDING PARKWAY",Licensed
CHILLIWACK,10 45850 YALE ROAD,Licensed
CHILLIWACK,8559 YOUNG RD,Licensed
CHILLIWACK,45844 YALE ROAD,Licensed
CHRISTINA LAKE,1770 HWY  3,Licensed
CLEARWATER,228 EAST YELLOWHEAD HIIGHWAY,Licensed
CLINTON,1414 CARIBOO HIGHWAY,Licensed
CLINTON,1613 HIGHWAY 97,Licensed
COBBLE HILL,3566 HOLLAND AVENUE,Licensed
COBBLE HILL,49 - 1400 COWICHAN BAY RD,Licensed
COLDSTREAM,12408 KALAMALKA ROAD,Licensed
COLWOOD,504 - 1913 SOOKE ROAD,Licensed
COLWOOD,101 - 1740 ISLAND HIGHWAY,Licensed
COLWOOD,107  2244 SOOKE ROAD,Licensed
COMOX,2082 COMOX AVENUE,Relocation Application
COMOX,1770 COMOX AVE,Relocation Application
COMOX,2082 COMOX AVENUE,Relocation Application
COMOX,649 ANDERTON RD,Licensed
COMOX,3080 COMOX ROAD,Licensed
COMOX,2082 COMOX AVENUE,Licensed
COMOX,1185 KILMORNEY ROAD,Licensed
COMOX,1770 COMOX AVE,Licensed
COOMBS,2484 ALBERNI HWY,Licensed
COQUITLAM,140 SCHOOLHOUSE STREET,Licensed
COQUITLAM,"25, D  2773 BARNET HIGHWAY",Licensed
COQUITLAM,1125 FALCON DR,Licensed
COQUITLAM,940  3025 LOUGHEED HWY,Licensed
COQUITLAM,390 1175 JOHNSON STREET,Licensed
COQUITLAM,1000 AUSTIN AVE,Licensed
COQUITLAM,405 NORTH RD,Licensed
COQUITLAM,170 GOLDEN DRIVE,Licensed
COQUITLAM,319 NORTH RD,Licensed
COQUITLAM,UNIT #11 - 2662 AUSTIN AVE,Licensed
COQUITLAM,541 CLARKE RD,Licensed
COQUITLAM,935 BRUNETTE ST,Licensed
COURTENAY,101 - 444 LERWICK RD,Relocation Application
COURTENAY,275 8TH ST,Licensed
COURTENAY,1590 CLIFFE AVE,Licensed
COURTENAY,1001 RYAN ROAD,Licensed
COURTENAY,2355 MANSFIELD DR,Licensed
COWICHAN BAY,1681 COWICHAN BAY RD,Licensed
CRANBROOK,2100 E/F WILLOWBROOK DRIVE,Licensed
CRANBROOK,600 CRANBROOK ST   N,Licensed
CRANBROOK,21 CRANBROOK ST N,Licensed
CRANBROOK,22 - 7TH AVE SOUTH,Licensed
CRESTON,1418 CANYON ST,Licensed
CRESTON,123-9TH AVENUE S.,Licensed
CROFTON,1534 JOAN AVE,Licensed
CULTUS LAKE,3696 COLUMBIA VALLEY HWY,Licensed
CUMBERLAND,2692 DUNSMUIR AVE,Licensed
DAWSON CREEK,10100 10TH ST,Licensed
DAWSON CREEK,11705 8TH STREET,Licensed
DAWSON CREEK,12121 8TH ST,Licensed
DELTA,8899 120TH STREET,Licensed
DELTA,7229  120TH ST,Licensed
DELTA,8037 120TH ST,Licensed
DELTA,6439  120TH ST,Licensed
DELTA,10190 RIVER ROAD,Licensed
DELTA,UNIT 114 - 4857 ELLIOTT STREET,Licensed
DELTA,8473 120TH STREET,Licensed
DELTA,6574 LADNER TRUNK RD,Licensed
DELTA,E - 1215  56TH ST,Licensed
DELTA,5449 48TH AVE,Licensed
DELTA,11920 70TH AVE,Licensed
DEWDNEY,8793 RIVER ROAD SOUTH,Licensed
DUNCAN,2900 DRINKWATER ROAD,Relocation Application
DUNCAN,140 TRANS CANADA HWY,Licensed
DUNCAN,6777 BEAUMONT AVENUE,Licensed
DUNCAN,2755 BEVERLY STREET,Licensed
DUNCAN,6474 TRANS CANADA HIGHWAY,Licensed
DUNCAN,127 TRANS CANADA HWY,Licensed
DUNCAN,3287 COWICHAN LAKE RD,Licensed
DUNCAN,360 DUNCAN STREET,Licensed
EGMONT,16660 BACKEDDY ROAD,Licensed
ELKFORD,808 MICHEL RD,Licensed
ENDERBY,900 GEORGE STREET,Licensed
ENDERBY,1510 GEORGE STREET,Licensed
ESQUIMALT,856 ESQUIMALT ROAD,Licensed
ESQUIMALT,533 ADMIRALS RD,Licensed
ESQUIMALT,#12 - 1153 ESQUIMALT ROAD,Licensed
FERNIE,792 - 2ND AVENUE,Licensed
FERNIE,1641  7TH AVE,Licensed
FERNIE,100 RIVERSIDE WAY,Licensed
FERNIE,741 7TH AVE,Licensed
FORT FRASER,3RD AVE,Licensed
FORT NELSON,4607-55TH ST,Licensed
FORT NELSON,3995 50TH AVENUE SOUTH,Licensed
FORT NELSON,4204 50TH AVE N,Licensed
FORT ST. JAMES,1507 STONES BAY ROAD,Licensed
FORT ST. JAMES,7- 470 STUART DR W,Licensed
FORT ST. JOHN,10688 ALDER RD,Licensed
FORT ST. JOHN,10419 ALASKA ROAD,Licensed
FORT ST. JOHN,9223 100TH STREET,Licensed
FORT ST. JOHN,9 - 10440 100TH ST,Licensed
FORT ST. JOHN,8155 - 100TH AVENUE,Licensed
FORT ST. JOHN,10119  100TH AVE,Licensed
FORT ST. JOHN,9830  100TH AVE,Licensed
FRASER LAKE,111 CHOWSUNKET ST,Licensed
FRUITVALE,1867 HIGHWAY DRIVE,Licensed
GABRIOLA ISLAND,UNIT 4 - 575 NORTH ROAD ,Licensed
GABRIOLA ISLAND,UNIT 3 - 377 BERRY POINT ROAD,Licensed
GABRIOLA ISLAND,3383 SOUTH ROAD,Licensed
GALIANO ISLAND,134 MADRONA DRIVE,Licensed
GARDEN BAY,4958 LYONS ROAD,Licensed
GARIBALDI HIGHLANDS,40330 TANTALUS WAY,Licensed
GIBSONS,966 VENTURE WAY,Licensed
GIBSONS,1552 SUNSHINE COAST HWY,Licensed
GOLD RIVER,4  390 MUCHALAT DRIVE,Licensed
GOLDEN,1205 9TH ST  S,Licensed
GOLDEN,429  9TH AVE N,Licensed
GOLDEN,1049 TRANS CANADA HWY N,Licensed
GRAND FORKS,425 CENTRAL AVE,Licensed
GRAND FORKS,1675 CENTRAL AVENUE,Licensed
GREENWOOD,321 SOUTH COPPER STREET,Licensed
HARRISON HOT SPRINGS,889 HOT SPRINGS ROAD,Licensed
HARRISON HOT SPRINGS,222 CEDAR AVENUE,Licensed
HARRISON MILLS,46001 LOUGHEED HWY,Licensed
HAZELTON,1520 OMENICA STREET,Licensed
HIXON,39040  HWY 97 SOUTH,Licensed
HOPE,19974 SILVERVIEW RD,Licensed
HOPE,272 WALLACE STREET,Licensed
HOPE,583 B OLD HOPE PRINCETON WAY,Licensed
HORNBY ISLAND,4325 SHINGLE SPIT ROAD,Licensed
HOUSTON,3401 - 1TH ST,Licensed
HOUSTON,2800 YELLOWHEAD HWY,Licensed
HUDSON'S HOPE,10101 BEATTIE DRIVE,Licensed
INVERMERE,1310 7TH AVENUE,Licensed
JAFFRAY,2359 HIGHWAY 3/93,Licensed
KAMLOOPS,726 SYDNEY AVENUE,Licensed
KAMLOOPS,843 DESMOND ST,Licensed
KAMLOOPS,8  2101 EAST TRANS CANADA HIGHWAY,Licensed
KAMLOOPS,3369 WESTSYDE RD,Licensed
KAMLOOPS,20 - 945 W  COLUMBIA ST,Licensed
KAMLOOPS,1050  8TH ST,Licensed
KAMLOOPS,225 - 450 LANSDOWNE STREET,Licensed
KAMLOOPS,3020 WESTSYDE ROAD,Licensed
KAMLOOPS,490 PAUL LAKE ROAD,Licensed
KAMLOOPS,1626 VALLEYVIEW DR,Licensed
KAMLOOPS,1821 TRANS CANADA HWY E,Licensed
KAMLOOPS,1430 SUMMIT DRIVE,Licensed
KAMLOOPS,5220 BOGETTI PL,Licensed
KAMLOOPS,105 - 795 MCGILL ROAD,Licensed
KAMLOOPS,4309 OLD YELLOWHEAD HIGHWAY NO.5,Licensed
KAMLOOPS,377 TRANQUILLE ROAD,Licensed
KAMLOOPS,1271 C SALISH ROAD,Licensed
KAMLOOPS,2 - 177 TRANQUILLE ROAD,Licensed
KAMLOOPS,402 - 1801 PRINCETON - KAMLOOPS HWY,Licensed
KAMLOOPS,1380 HILLSIDE DRIVE,Licensed
KAMLOOPS,1250 ROGERS WAY,Licensed
KAMLOOPS,1 - 1800 TRANQUILLE ROAD,Licensed
KAMLOOPS,339 ST. PAUL STREET,Licensed
KAMLOOPS,405 VICTORIA ST,Licensed
KASLO,343 FRONT ST,Licensed
KELOWNA,1789 K.L.O. RD,Relocation Application
KELOWNA,C3-525 HWY 97 S,Relocation Application
KELOWNA,106  2395 GORDON DRIVE,Licensed
KELOWNA,2  4600 LAKESHORE DRIVE,Licensed
KELOWNA,"UNIT D220, 2339 HIGHWAY 97 NORTH",Licensed
KELOWNA,235 QUEENSWAY AVENUE,Licensed
KELOWNA,500 COOK ROAD,Licensed
KELOWNA,1973 HARVEY AVENUE,Licensed
KELOWNA,100 437 GLENMORE ROAD,Licensed
KELOWNA,1992 DILWORTH DRIVE,Licensed
KELOWNA,3929 LAKESHORE RD,Licensed
KELOWNA,348 BERNARD AVE,Licensed
KELOWNA,2789 K L O  RD,Licensed
KELOWNA,2170 HARVEY AVE,Licensed
KELOWNA,1171 HARVEY AVE,Licensed
KELOWNA,663 FINNS ROAD,Licensed
KELOWNA,PAD D - 1500 BANKS ROAD,Licensed
KELOWNA,19-590 HWY 33,Licensed
KELOWNA,3195 LAKESHORE ROAD,Licensed
KELOWNA,200 - 210 HIGHWAY 33 WEST,Licensed
KELOWNA,1175 ELLIS ST,Licensed
KELOWNA,1978 KIRSCHNER RD,Licensed
KELOWNA,1310 WATER STREET,Licensed
KEREMEOS,715 7TH STREET ,Licensed
KIMBERLEY,447  304TH ST,Licensed
KIMBERLEY,400 ROSS ST.,Licensed
KITIMAT,178 NECHAKO CENTER,Licensed
KITIMAT,506 ENTERPRISE AVE,Licensed
KITIMAT,225  276 CITY CENTRE,Licensed
KITIMAT,874 TSIMSHIAN BLVD,Licensed
LADYSMITH,1010  1ST AVE,Licensed
LADYSMITH,1680 TIMBERLANDS RD,Licensed
LAKE COUNTRY,9882 HWY 97,Licensed
LAKE COUNTRY,72  9522 MAIN STREET,Licensed
LAKE COWICHAN,56 NORTH  SHORE RD,Licensed
LANGFORD,2792 PEATT RD,Relocation Application
LANGFORD,104 2778 PEATT ROAD,Licensed
LANGFORD,2668 SOOKE RD,Licensed
LANGFORD,2903 SOOKE LAKE ROAD,Licensed
LANGFORD,2835 BRYN MAUR ROAD,Licensed
LANGLEY,27 - 20821 FRASER HIGHWAY,Relocation Application
LANGLEY,CRU-3 GLOVER RD & LANGLEY BY-PASS,Relocation Application
LANGLEY,4143  208 ST,Licensed
LANGLEY,#101 - 20151 FRASER HIGHWAY ,Licensed
LANGLEY,2364 200TH ST,Licensed
LANGLEY,19935 96TH AVE,Licensed
LANGLEY,112 & 113 20620 56TH AVENUE,Licensed
LANGLEY,100-19665 WILLOWBROOK DRIVE,Licensed
LANGLEY,5  20811 FRASER HWY,Licensed
LANGLEY,19988 84 AVE,Licensed
LANGLEY,20470 88 AVE,Licensed
LANGLEY,101 - 22071  48A AVE,Licensed
LANGLEY,8855 - 202ND STREET,Licensed
LANTZVILLE,7197 LANTZVILLE RD,Licensed
LILLOOET,667 MAIN ST,Licensed
LILLOOET,1237 MAIN ST,Licensed
LOGAN LAKE,111 CHARTRAND AVENUE,Licensed
LOGAN LAKE,264 POPLAR DR,Licensed
LOWER NICOLA,2319 ABERDEEN ROAD,Licensed
LUMBY,2004 SHUSWAP AVE,Licensed
LUMBY,1643 VERNON ST,Licensed
MACKENZIE,403 MACKENZIE BLVD,Licensed
MADEIRA PARK,12671 SUNSHINE COAST HIGHWAY,Licensed
MALAKWA,4260 OXBOW FRONTAGE ROAD,Licensed
MAPLE RIDGE,11232 DARTFORD ST,Licensed
MAPLE RIDGE,21755 LOUGHEED HWY,Licensed
MAPLE RIDGE,9610 287 ST,Licensed
MAPLE RIDGE,22222 LOUGHEED HWY,Licensed
MAPLE RIDGE,21525 DEWDNEY TRUNK RD,Licensed
MAPLE RIDGE,160- 20398 DEWDNEY TRUNK RD,Licensed
MAPLE RIDGE,22648 DEWDNEY TRUNK RD,Licensed
MAPLE RIDGE,23988 DEWDNEY TRUNK ROAD,Licensed
MAPLE RIDGE,12968 232 STREET,Licensed
MAPLE RIDGE,20690 LOUGHEED HWY,Licensed
MASSET,1993 COLLISON AVE,Licensed
MAYNE ISLAND,494 ARBUTUS DRIVE,Licensed
MERRITT,3623 DEWOLF WAY,Licensed
MERRITT,QUILCHENA & VOGHT STREETS,Licensed
MERRITT,2350 VOGHT ST,Licensed
MILL BAY,#108 & #109 2690 MILL BAY ROAD,Licensed
MISSION,A16- 7871 STAVE LAKE ST,Licensed
MISSION,740  32555 LONDON AVENUE,Licensed
MISSION,7160 OLIVER ST,Licensed
MISSION,32516 14TH AVE,Licensed
MISSION,33395 FIRST AVENUE,Licensed
NAKUSP,515 BROADWAY ST,Licensed
NANAIMO,1850 DUFFERIN CRES,Relocation Application
NANAIMO,5775 TURNER RD,Licensed
NANAIMO,1724 STEWART AVE,Licensed
NANAIMO,101-4750 HAMMOND BAY ROAD,Licensed
NANAIMO,2954 TRANS CANADA HIGHWAY,Licensed
NANAIMO,6201 DOUMONT ROAD,Licensed
NANAIMO,1604 CEDAR ROAD,Licensed
NANAIMO,129  4750 RUTHERFORD ROAD,Licensed
NANAIMO,1431 BOWEN ROAD,Licensed
NANAIMO,3296 ISLAND HIGHWAY NORTH,Licensed
NANAIMO,14  2220 BOWEN ROAD,Licensed
NANAIMO,"BUILDING D, 6950 OLD ISLAND HIGHWAY",Licensed
NANAIMO,3956 VICTORIA AVE,Licensed
NANAIMO,1 TERMINAL AVE,Licensed
NANAIMO,514 HALIBURTON ST,Licensed
NANAIMO,278 SELBY ST,Licensed
NANAIMO,UNIT #3  508 8TH ST,Licensed
NANAIMO,14 - 1588 BOUNDARY CRES,Licensed
NANAIMO,2211 JINGLE POT ROAD,Licensed
NANAIMO,#1 - 6404 METRAL DRIVE,Licensed
NANAIMO,1866 CEDAR RD,Licensed
NANAIMO,10  1273 ISLAND HWY SOUTH,Licensed
NANAIMO,# 400 - 530  5TH STREET,Licensed
NANOOSE BAY,2414 ISLAND HIGHWAY EAST,Licensed
NANOOSE BAY,3521 DOLPHIN DRIVE,Licensed
NELSON,712 NELSON AVE,Licensed
NELSON,616 VERNON ST,Licensed
NELSON,422 VERNON STREET,Licensed
NELSON,157 - 1121 LAKESIDE DR,Licensed
NEW DENVER,706 UNION STREET,Licensed
NEW HAZELTON,4545 10TH AVENUE,Licensed
NEW WESTMINSTER,104 -  810 QUAYSIDE DRIVE,Licensed
NEW WESTMINSTER,411 COLUMBIA ST,Licensed
NEW WESTMINSTER,48 EIGHTH STREET,Licensed
NEW WESTMINSTER,115  12TH ST,Licensed
NEW WESTMINSTER,525 7TH STREET,Licensed
NEW WESTMINSTER,140 6TH STREET,Licensed
NEW WESTMINSTER,250 COLUMBIA ST,Licensed
NEW WESTMINSTER,T140 - 805 BOYD STREET,Licensed
NEW WESTMINSTER,320  6TH ST,Licensed
NEW WESTMINSTER,1110 EWEN AVE,Licensed
NEW WESTMINSTER,444 E COLUMBIA STREET,Licensed
NORTH VANCOUVER,1559 BARROW ST,Relocation Application
NORTH VANCOUVER,1515 BARROW ST,Licensed
NORTH VANCOUVER,D120  1133 MOUNT SEYMOUR RD,Licensed
